Datum,Začátek,Konec,Doba trvání,rel. Doba trvání,Projekt,Popis
1. září 2014,7:36,15:42,8.1,8.1,Bruntál,Ws
2. září 2014,7:06,9:00,1.9,1.9,Bruntál,Ws
2. září 2014,9:00,11:32,2.53,2.53,FDV,Certifikáty
2. září 2014,11:32,12:50,1.3,0.92,Bruntál,Ws
2. září 2014,12:50,15:16,2.43,2.43,FDV,Certifikaty
2. září 2014,15:16,15:33,0.28,0.28,Bruntál,Ws
3. září 2014,7:02,14:19,7.28,6.93,Bruntál,Ws
3. září 2014,14:20,15:38,1.3,1.3,FDV,Certifikaty
4. září 2014,7:45,9:21,1.6,1.6,Bruntál,Ws
4. září 2014,9:21,11:01,1.67,1.67,CAVS,Příprava na prezentaci
4. září 2014,11:01,12:04,1.05,1.05,CAVS,Prezentace
4. září 2014,12:04,12:27,0.38,0.38,VŠB,Semester overview
4. září 2014,12:27,15:38,3.18,3.18,Bruntál,Ws
5. září 2014,6:53,15:19,8.43,8.43,Bruntál,WS - novy rok
8. září 2014,6:50,8:00,1.17,1.17,FDV,Certifikaty
8. září 2014,8:00,13:35,5.58,5.23,Bruntál,Ws
8. září 2014,13:35,15:00,1.42,1.42,Hobit,Test
8. září 2014,15:01,15:19,0.3,0.3,Bruntál,Ws
9. září 2014,7:10,8:12,1.03,1.03,FDV,Seznam smazanych
9. září 2014,8:12,14:09,5.95,5.58,Bruntál,WS - vytvoření roku
9. září 2014,14:09,15:37,1.47,1.47,CAVS,Kontakty
10. září 2014,7:09,7:57,0.8,0.8,VŠOH,Synchro
10. září 2014,7:57,11:12,3.25,3.25,Bruntál,"WS, synchro uživatelů"
10. září 2014,11:13,11:45,0.53,0.53,Stag,Viditelnost nového kurzu
10. září 2014,12:08,15:38,3.5,3.5,Proefes - Muni,Drill chyba z mejlu
11. září 2014,7:10,9:32,2.37,2.37,VŠB,Semester overview
11. září 2014,9:33,10:32,0.98,0.98,4 IT,User fields control
11. září 2014,10:33,11:46,1.22,1.22,VŠB,Semester overview
11. září 2014,11:46,12:57,1.18,0.78,Proefes - Muni,Moodle 2.7
11. září 2014,12:57,15:56,2.98,2.98,Oriflame,Duplicitní emaily
12. září 2014,8:20,10:13,1.88,1.88,Hobit,Export csv
12. září 2014,10:14,14:45,4.52,4.18,Proefes - Muni,Drill na moodle 2.7
12. září 2014,14:45,15:15,0.5,0.5,FDV,Certifikaty
12. září 2014,15:15,16:41,1.43,1.43,Proefes - Muni,Moodle 2.7
15. září 2014,7:18,8:51,1.55,1.55,VŠOH,Synchro
15. září 2014,8:52,10:17,1.42,1.42,FDV,Certifikáty
15. září 2014,10:17,15:59,5.7,5.22,Proefes - Muni,Moodle 2.7
16. září 2014,7:18,7:34,0.27,0.27,Proefes - Muni,Drill
16. září 2014,7:34,10:33,2.98,2.98,Oriflame,Auth oriflame
16. září 2014,10:34,15:43,5.15,4.78,Proefes - Muni,Drill
17. září 2014,7:45,10:00,2.25,2.25,VŠOH,Duplicitní semestry
17. září 2014,10:00,15:40,5.67,5.38,Proefes - Muni,Drill
18. září 2014,7:20,10:05,2.75,2.75,Proefes - Muni,Dril pro moodle 2.7
18. září 2014,10:05,16:03,5.97,5.72,VŠB,WS úpravy
19. září 2014,7:15,8:51,1.6,1.6,Proefes - Muni,Ws
19. září 2014,8:52,15:01,6.15,5.83,Bruntál,Úprava na nové PHP
19. září 2014,15:03,15:45,0.7,0.7,VŠB,Poznámky pana Kapiase
22. září 2014,7:24,11:49,4.42,4.03,Moje ID,Chyba v přihlašování
22. září 2014,11:50,13:04,1.23,1.23,VŠB,"WS, struktury DB"
22. září 2014,13:05,13:30,0.42,0.42,Oriflame,Semester overview
22. září 2014,13:30,16:07,2.62,2.62,VŠB,WS úpravy
23. září 2014,7:08,13:14,6.1,5.7,Bruntál,Nova verze moodle a php
23. září 2014,13:14,15:36,2.37,2.37,VŠB,WS úpravy
24. září 2014,7:24,16:12,8.8,8.13,VŠB,WS úpravy
25. září 2014,7:11,15:56,8.75,8.52,VŠB,Ws
26. září 2014,6:44,15:01,8.28,8.08,VŠB,WS
29. září 2014,7:18,11:04,3.77,3.77,VŠB,"Ws , user overrides"
29. září 2014,11:04,13:20,2.27,1.97,Bruntál,Ldap
29. září 2014,13:20,15:47,2.45,2.45,VŠB,Ws
30. září 2014,7:19,15:40,8.35,7.93,VŠB,Ws
